title,url,discounted_price,original_price
Authentic Sigelei Sobra 198W TC VW Kit - Serpentine Yellow,https://www.cigabuy.com/authentic-sigelei-sobra-198w-tc-vw-kit-serpentine-yellow-p-20005.html,$15.29,$30.59 
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Silver,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-silver-p-9927.html,$7.09,$21.41 
Authentic IJOY Mystique 162W TC Kit Mystique SubTank - Black,https://www.cigabuy.com/authentic-ijoy-mystique-162w-tc-kit-mystique-subtank-black-p-13771.html,$16.93,$32.65 
Authentic Vaporesso Target Mini II 2000mAh 50W TC Box Mod - Black,https://www.cigabuy.com/authentic-vaporesso-target-mini-ii-2000mah-50w-tc-box-mod-black-p-15517.html,$12.33,$49.23 
Authentic Steam Crave Kit Hadron Mod + Glaz V2 + Squonk Backpack - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-kit-hadron-mod-glaz-v2-squonk-backpack-gunmetal-p-18674.html,$99.95,$192.24 
Authentic Vaporesso Target Mini II 2000mAh 50W TC Box Mod - Silver,https://www.cigabuy.com/authentic-vaporesso-target-mini-ii-2000mah-50w-tc-box-mod-silver-p-15516.html,$12.33,$31.39 
3 x Authentic SMOK V12 Prince X2 Coil Head 0.4ohm TPD Version,https://www.cigabuy.com/3-x-authentic-smok-v12-prince-x2-coil-head-04ohm-tpd-version-p-16973.html,,
Authentic Vaporesso Nexus 650mAh AIO Starter Kit - Orange,https://www.cigabuy.com/authentic-vaporesso-nexus-650mah-aio-starter-kit-orange-p-14733.html,$3.11,$19.62 
Authentic Vaporesso Nexus 650mAh AIO Starter Kit - Green,https://www.cigabuy.com/authentic-vaporesso-nexus-650mah-aio-starter-kit-green-p-14387.html,$3.11,$19.06 
Authentic VOOPOO Too 80W/180W TC Box Mod - Resin S-Opal,https://www.cigabuy.com/authentic-voopoo-too-80w180w-tc-box-mod-resin-s-opal-p-18644.html,$21.75,$45.54 
Authentic VOOPOO Too 80W/180W TC Box Mod - Black-Malachite,https://www.cigabuy.com/authentic-voopoo-too-80w180w-tc-box-mod-black-malachite-p-19895.html,$22.56,$45.54 
Authentic Steam Crave Aromamizer Lite V1.5 3.5ML RTA - Silver,https://www.cigabuy.com/authentic-steam-crave-aromamizer-lite-v15-35ml-rta-silver-p-16252.html,$17.33,$42.07 
Authentic Wismec Luxotic MF 100W Box Mod W/O Screen - Black,https://www.cigabuy.com/authentic-wismec-luxotic-mf-100w-box-mod-wo-screen-black-p-12863.html,,
Authentic Wismec Luxotic MF 100W Box Mod W/O Screen - Silver,https://www.cigabuy.com/authentic-wismec-luxotic-mf-100w-box-mod-wo-screen-silver-p-12864.html,,
Authentic VOOPOO Drag Nano 750mAh Pod System Kit - Klein Blue,https://www.cigabuy.com/authentic-voopoo-drag-nano-750mah-pod-system-kit-klein-blue-p-19975.html,$6.42,$19.62 
Authentic Eleaf iCard 650mAh 15W Starter Kit - Black,https://www.cigabuy.com/authentic-eleaf-icard-650mah-15w-starter-kit-black-p-15919.html,$5.20,$10.54 
Authentic Steam Crave Aromamizer Lite V1.5 3.5ML RTA - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-lite-v15-35ml-rta-black-p-16253.html,$19.68,$43.16 
Authentic Vaporesso ORC Tank 3.5ml - Silver,https://www.cigabuy.com/authentic-vaporesso-orc-tank-35ml-silver-p-20004.html,$4.38,$17.33 
Authentic Joyetech CuBox 50W 3000mAh 3.5ml CUBIS 2 Kit - Yellow,https://www.cigabuy.com/authentic-joyetech-cubox-50w-3000mah-35ml-cubis-2-kit-yellow-p-16644.html,,
Authentic Steam Crave Aromamizer Lite V1.5 3.5ML RTA - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-lite-v15-35ml-rta-gunmetal-p-16254.html,$19.68,$42.07 
Authentic Smok Novo 450mAh Pod Kit Cobra Edition - Prism Chrome,https://www.cigabuy.com/authentic-smok-novo-450mah-pod-kit-cobra-edition-prism-chrome-p-17854.html,,
Authentic Smoant Battlestar Baby 750mAh Pod Kit - Gunmetal,https://www.cigabuy.com/authentic-smoant-battlestar-baby-750mah-pod-kit-gunmetal-p-16208.html,,
3 x Authentic SMOK TFV8 X-Baby Q2 Coil Head 0.4ohm,https://www.cigabuy.com/3-x-authentic-smok-tfv8-x-baby-q2-coil-head-04ohm-p-18580.html,,
Authentic Joyetech Teros 480mAh AIO Pod Starter Kit - Black,https://www.cigabuy.com/authentic-joyetech-teros-480mah-aio-pod-starter-kit-black-p-19406.html,$2.33,$6.32 
